States,Region,Latitude,Longitude,Date,Day,Type of Day,Month,Season,Period,Electricity Consumed
DD,WR,20.4283,72.8397,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,6.4
DNH,WR,20.26657819,73.01661779999999,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,16.3
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,159.9
Telangana,SR,18.1124,79.0193,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,183.1
Karnataka,SR,12.57038129,76.91999711,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,200.3
Kerala,SR,8.900372741,76.56999263,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,65.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,279.2
Pondy,SR,11.93499371,79.83000037,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,7.2
Bihar,SR,25.78541445,87.4799727,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,76.2
DVC,ER,22.4975,88.3527,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,63.4
Jharkhand,ER,23.80039349,86.41998572,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,25.2
Odisha,ER,19.82042971,85.90001746,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,71.2
West Bengal,ER,22.58039044,88.32994665,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,107.2
Sikkim,ER,27.3333303,88.6166475,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,1.5
Arunachal Pradesh,ER,27.10039878,93.61660071,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,2.3
Assam,NER,26.7499809,94.21666744,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,23.3
Manipur,NER,24.79997072,93.95001705,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,2.9
Meghalaya,NER,25.57049217,91.8800142,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,6.7
Mizoram,NER,23.71039899,92.72001461,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,1.5
Nagaland,NER,25.6669979,94.11657019,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,3.4
Punjab,NR,31.51997398,75.98000281,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,103.8
Haryana,NR,28.45000633,77.01999101,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,127.2
Rajasthan,NR,26.44999921,74.63998124,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,239.9
Delhi,NR,28.6699929,77.23000403,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,68.3
UP,NR,27.59998069,78.05000565,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,291.4
Uttarakhand,NR,30.32040895,78.05000565,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,38.5
HP,NR,31.10002545,77.16659704,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,30.1
J&K,NR,33.45,76.24,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,50.6
Chandigarh,NR,30.71999697,76.78000565,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,3.7
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,76.8
Gujarat,WR,22.2587,71.1924,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,323.1
MP,WR,21.30039105,76.13001949,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,258.9
Maharashtra,WR,19.25023195,73.16017493,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,413.8
Goa,WR,15.491997,73.81800065,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,8.8
DD,WR,20.4283,72.8397,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,6.9
DNH,WR,20.26657819,73.01661779999999,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,17.1
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,163.1
Telangana,SR,18.1124,79.0193,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,183.6
Karnataka,SR,12.57038129,76.91999711,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,204.2
Kerala,SR,8.900372741,76.56999263,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,59.5
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,287.9
Pondy,SR,11.93499371,79.83000037,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,7.4
Bihar,SR,25.78541445,87.4799727,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,77.4
DVC,ER,22.4975,88.3527,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,62.4
Jharkhand,ER,23.80039349,86.41998572,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,24.6
Odisha,ER,19.82042971,85.90001746,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,80.7
West Bengal,ER,22.58039044,88.32994665,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,109.7
Sikkim,ER,27.3333303,88.6166475,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,1.5
Arunachal Pradesh,ER,27.10039878,93.61660071,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,2.2
Assam,NER,26.7499809,94.21666744,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,21.8
Manipur,NER,24.79997072,93.95001705,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,2.4
Meghalaya,NER,25.57049217,91.8800142,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,6.9
Mizoram,NER,23.71039899,92.72001461,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,1.3
Nagaland,NER,25.6669979,94.11657019,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,2.0
Tripura,NER,23.83540428,91.27999914,2019-01-03,Thursday,Working,1,WINTER,pre-Covid-Lockdown,3.3
Punjab,NR,31.51997398,75.98000281,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,113.6
Haryana,NR,28.45000633,77.01999101,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,126.5
Rajasthan,NR,26.44999921,74.63998124,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,236.5
Delhi,NR,28.6699929,77.23000403,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,73.9
UP,NR,27.59998069,78.05000565,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,290.7
Uttarakhand,NR,30.32040895,78.05000565,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,39.7
HP,NR,31.10002545,77.16659704,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,30.5
J&K,NR,33.45,76.24,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,50.9
Chandigarh,NR,30.71999697,76.78000565,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,78.9
Gujarat,WR,22.2587,71.1924,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,326.3
MP,WR,21.30039105,76.13001949,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,259.8
Maharashtra,WR,19.25023195,73.16017493,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,411.5
Goa,WR,15.491997,73.81800065,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,8.8
DD,WR,20.4283,72.8397,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,7.1
DNH,WR,20.26657819,73.01661779999999,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,17.0
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,165.9
Telangana,SR,18.1124,79.0193,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,186.0
Karnataka,SR,12.57038129,76.91999711,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,208.5
Kerala,SR,8.900372741,76.56999263,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,63.4
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,289.4
Pondy,SR,11.93499371,79.83000037,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,7.5
Bihar,SR,25.78541445,87.4799727,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,77.7
DVC,ER,22.4975,88.3527,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,64.5
Jharkhand,ER,23.80039349,86.41998572,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,21.4
Odisha,ER,19.82042971,85.90001746,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,81.5
West Bengal,ER,22.58039044,88.32994665,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,112.8
Sikkim,ER,27.3333303,88.6166475,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,1.5
Arunachal Pradesh,ER,27.10039878,93.61660071,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,2.1
Assam,NER,26.7499809,94.21666744,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,23.0
Manipur,NER,24.79997072,93.95001705,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,2.7
Meghalaya,NER,25.57049217,91.8800142,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,6.9
Mizoram,NER,23.71039899,92.72001461,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,1.9
Nagaland,NER,25.6669979,94.11657019,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,2.2
Tripura,NER,23.83540428,91.27999914,2019-01-04,Friday,Working,1,WINTER,pre-Covid-Lockdown,3.8
Punjab,NR,31.51997398,75.98000281,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,108.4
Haryana,NR,28.45000633,77.01999101,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,124.6
Rajasthan,NR,26.44999921,74.63998124,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,234.2
Delhi,NR,28.6699929,77.23000403,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,68.2
UP,NR,27.59998069,78.05000565,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,289.5
Uttarakhand,NR,30.32040895,78.05000565,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,39.6
HP,NR,31.10002545,77.16659704,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,30.7
J&K,NR,33.45,76.24,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,42.0
Chandigarh,NR,30.71999697,76.78000565,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,78.6
Gujarat,WR,22.2587,71.1924,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,325.2
MP,WR,21.30039105,76.13001949,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,260.4
Maharashtra,WR,19.25023195,73.16017493,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,411.8
Goa,WR,15.491997,73.81800065,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,9.8
DD,WR,20.4283,72.8397,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,7.1
DNH,WR,20.26657819,73.01661779999999,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,17.1
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,165.5
Telangana,SR,18.1124,79.0193,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,185.8
Karnataka,SR,12.57038129,76.91999711,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,204.8
Kerala,SR,8.900372741,76.56999263,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,63.6
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,281.3
Pondy,SR,11.93499371,79.83000037,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,7.6
Bihar,SR,25.78541445,87.4799727,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,74.5
DVC,ER,22.4975,88.3527,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,65.7
Jharkhand,ER,23.80039349,86.41998572,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,24.4
Odisha,ER,19.82042971,85.90001746,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,74.9
West Bengal,ER,22.58039044,88.32994665,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,117.3
Sikkim,ER,27.3333303,88.6166475,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,1.4
Arunachal Pradesh,ER,27.10039878,93.61660071,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,2.1
Assam,NER,26.7499809,94.21666744,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,23.9
Manipur,NER,24.79997072,93.95001705,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,2.8
Meghalaya,NER,25.57049217,91.8800142,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,6.7
Mizoram,NER,23.71039899,92.72001461,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,1.9
Nagaland,NER,25.6669979,94.11657019,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-05,Saturday,Holiday,1,WINTER,pre-Covid-Lockdown,4.1
Punjab,NR,31.51997398,75.98000281,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,99.0
Haryana,NR,28.45000633,77.01999101,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,106.3
Rajasthan,NR,26.44999921,74.63998124,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,235.2
Delhi,NR,28.6699929,77.23000403,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,64.9
UP,NR,27.59998069,78.05000565,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,279.5
Uttarakhand,NR,30.32040895,78.05000565,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,37.8
HP,NR,31.10002545,77.16659704,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,28.0
J&K,NR,33.45,76.24,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,49.2
Chandigarh,NR,30.71999697,76.78000565,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,3.5
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,79.0
Gujarat,WR,22.2587,71.1924,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,312.2
MP,WR,21.30039105,76.13001949,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,257.3
Maharashtra,WR,19.25023195,73.16017493,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,398.6
Goa,WR,15.491997,73.81800065,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,8.3
DD,WR,20.4283,72.8397,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,6.6
DNH,WR,20.26657819,73.01661779999999,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,17.2
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,162.6
Telangana,SR,18.1124,79.0193,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,179.3
Karnataka,SR,12.57038129,76.91999711,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,195.7
Kerala,SR,8.900372741,76.56999263,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,58.0
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,267.8
Pondy,SR,11.93499371,79.83000037,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,6.9
Bihar,SR,25.78541445,87.4799727,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,76.5
DVC,ER,22.4975,88.3527,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,65.3
Jharkhand,ER,23.80039349,86.41998572,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,24.4
Odisha,ER,19.82042971,85.90001746,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,72.9
West Bengal,ER,22.58039044,88.32994665,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,111.0
Sikkim,ER,27.3333303,88.6166475,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,1.6
Arunachal Pradesh,ER,27.10039878,93.61660071,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,2.1
Assam,NER,26.7499809,94.21666744,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,23.0
Manipur,NER,24.79997072,93.95001705,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,2.6
Meghalaya,NER,25.57049217,91.8800142,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,6.3
Mizoram,NER,23.71039899,92.72001461,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,1.4
Nagaland,NER,25.6669979,94.11657019,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-06,Sunday,Holiday,1,WINTER,pre-Covid-Lockdown,3.3
Punjab,NR,31.51997398,75.98000281,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,108.1
Haryana,NR,28.45000633,77.01999101,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,123.5
Rajasthan,NR,26.44999921,74.63998124,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,239.9
Delhi,NR,28.6699929,77.23000403,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,71.0
UP,NR,27.59998069,78.05000565,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,274.4
Uttarakhand,NR,30.32040895,78.05000565,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,38.4
HP,NR,31.10002545,77.16659704,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,29.9
J&K,NR,33.45,76.24,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,45.8
Chandigarh,NR,30.71999697,76.78000565,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,3.6
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,79.1
Gujarat,WR,22.2587,71.1924,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,320.3
MP,WR,21.30039105,76.13001949,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,253.2
Maharashtra,WR,19.25023195,73.16017493,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,409.0
Goa,WR,15.491997,73.81800065,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,8.8
DD,WR,20.4283,72.8397,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,6.5
DNH,WR,20.26657819,73.01661779999999,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,17.3
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,163.5
Telangana,SR,18.1124,79.0193,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,179.9
Karnataka,SR,12.57038129,76.91999711,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,207.6
Kerala,SR,8.900372741,76.56999263,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,63.2
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-07,Monday,Working,1,WINTER,pre-Covid-Lockdown,285.0
